E,J,e/f,State,v,Lambda,Sigma,L
45887.977773,6.5,e,2,5,0,0.5,8.0
47760.704558,6.5,e,2,6,0,0.5,8.0
49326.873247,6.5,e,2,7,0,0.5,8.0
50521.797952,6.5,e,2,8,0,0.5,8.0
36325.054796,6.5,f,2,1,0,-0.5,8.0
39071.147142,6.5,f,2,2,0,-0.5,8.0
41615.758088,6.5,f,2,3,0,-0.5,8.0
43950.149569,6.5,f,2,4,0,-0.5,8.0
46054.931062,6.5,f,2,5,0,-0.5,8.0
47915.079581,6.5,f,2,6,0,-0.5,8.0
49459.963465,6.5,f,2,7,0,-0.5,8.0
50631.440014,6.5,f,2,8,0,-0.5,8.0
36578.847705,7.5,f,2,1,0,0.5,8.0
39311.464534,7.5,f,2,2,0,0.5,8.0
41842.207599,7.5,f,2,3,0,0.5,8.0
44161.821966,7.5,f,2,4,0,0.5,8.0
46255.946791,7.5,f,2,5,0,0.5,8.0
48091.643247,7.5,f,2,6,0,0.5,8.0
49618.222578,7.5,f,2,7,0,0.5,8.0
50754.623815,7.5,f,2,8,0,0.5,8.0
36326.635545,7.5,e,2,1,0,-0.5,8.0
39072.660061,7.5,e,2,2,0,-0.5,8.0
41617.194237,7.5,e,2,3,0,-0.5,8.0
43951.827146,7.5,e,2,4,0,-0.5,8.0
46053.396547,7.5,e,2,5,0,-0.5,8.0
47916.216887,7.5,e,2,6,0,-0.5,8.0
49462.895396,7.5,e,2,7,0,-0.5,8.0
50632.243852,7.5,e,2,8,0,-0.5,8.0
36580.633916,8.5,e,2,1,0,0.5,8.0
39313.173867,8.5,e,2,2,0,0.5,8.0
41843.828749,8.5,e,2,3,0,0.5,8.0
44163.626614,8.5,e,2,4,0,0.5,8.0
46257.30024,8.5,e,2,5,0,0.5,8.0
48092.740417,8.5,e,2,6,0,0.5,8.0
49619.342801,8.5,e,2,7,0,0.5,8.0
50755.512032,8.5,e,2,8,0,0.5,8.0
36863.140584,8.5,f,2,1,0,-0.5,8.0
39580.592413,8.5,f,2,2,0,-0.5,8.0
42095.621341,8.5,f,2,3,0,-0.5,8.0
44400.016667,8.5,f,2,4,0,-0.5,8.0
46473.016358,8.5,f,2,5,0,-0.5,8.0
48291.038229,8.5,f,2,6,0,-0.5,8.0
49789.31591,8.5,f,2,7,0,-0.5,8.0
50890.173026,8.5,f,2,8,0,-0.5,8.0
37177.500953,9.5,f,2,1,0,0.5,8.0
39878.080198,9.5,f,2,2,0,0.5,8.0
42375.70232,9.5,f,2,3,0,0.5,8.0
